vin|year|make|model|vehicleType|color|odometer|price
37846|2001|Ford|Ranger|TRUCK|Yellow|172544|1995.00
44901|2012|Honda|Civic|SUV|Gray|103221|6995.00
98283423|2010|Ford|Edge|SUV|Maroon|0|25000.00
10923823|2010|Ford|Edge|SUV|Maroon|50000|2000.00
23912|2020|Toyota|Corolla|SEDAN|White|15000|14500.00
85923|2019|Chevrolet|Camaro|COUPE|Red|32000|18000.00
18342|2022|Tesla|Model 3|ELECTRIC|Blue|5000|42000.00
37462|2017|Honda|Odyssey|MINIVAN|Silver|76000|16500.00
51293|2018|BMW|i3|HYBRID|Gray|24000|23000.00
71239|2015|Mazda|CX-5|WAGON|Green|90000|12500.00
39485|2021|Harley-Davidson|Street 750|MOTORCYCLE|Black|3000|8700.00
